Merilno mesto,GSRN MM,Časovna značka,Leto,Mesec,Energija A+,Energija A-,Energija R+,Energija R-,P+ Prejeta delovna moč,P- Oddana delovna moč,Q+ Prejeta jalova moč,Q- Oddana jalova moč,Blok,Dogovorjena moč,Status odčitka A+,Status odčitka A-,Status odčitka R+,Status odčitka R-,Obračunski podatek
3-5389,383111580014962888,1. 1. 2023 00:15:00,2023,1,12.0000,0.0000,2.0000,0.0000,48.0000,0.0000,8.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 00:30:00,2023,1,11.5000,0.0000,2.5000,0.0000,46.0000,0.0000,10.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 00:45:00,2023,1,14.2500,0.0000,2.5000,0.0000,57.0000,0.0000,10.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 01:00:00,2023,1,11.5000,0.0000,2.0000,0.0000,46.0000,0.0000,8.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 01:15:00,2023,1,11.7500,0.0000,2.7500,0.0000,47.0000,0.0000,11.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 01:30:00,2023,1,12.2500,0.0000,2.2500,0.0000,49.0000,0.0000,9.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 01:45:00,2023,1,11.7500,0.0000,1.7500,0.0000,47.0000,0.0000,7.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 02:00:00,2023,1,13.0000,0.0000,2.2500,0.0000,52.0000,0.0000,9.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 02:15:00,2023,1,12.7500,0.0000,2.0000,0.2500,51.0000,0.0000,8.0000,1.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 02:30:00,2023,1,11.5000,0.0000,2.2500,0.0000,46.0000,0.0000,9.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 02:45:00,2023,1,11.7500,0.0000,2.0000,0.0000,47.0000,0.0000,8.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 03:00:00,2023,1,11.7500,0.0000,1.7500,0.0000,47.0000,0.0000,7.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 03:15:00,2023,1,13.0000,0.0000,2.7500,0.0000,52.0000,0.0000,11.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 03:30:00,2023,1,13.0000,0.0000,2.5000,0.0000,52.0000,0.0000,10.0000,0.0000,4,,,,,,Ne
3-5389,383111580014962888,1. 1. 2023 03:45:00,2023,1,12.0000,0.0000,2.5000,0.0000,48.0000,0.0000,10.0000,0.0000,4,,,,,,Ne
